1,652 + 36 = ?,688
1,961 + 63 = ?,1024
1,226 + 29 = ?,255
1,882 + 78 = ?,960
1,461 + 28 = ?,489
1,562 + 97 = ?,659
1,454 + 71 = ?,525
1,207 + 77 = ?,284
1,981 + 35 = ?,1016
1,559 + 90 = ?,649
1,157 + 88 = ?,245
1,479 + 87 = ?,566
1,811 + 20 = ?,831
1,929 + 66 = ?,995
1,933 + 29 = ?,962
1,234 + 55 = ?,289
1,131 + 79 = ?,210
1,735 + 63 = ?,798
1,686 + 63 = ?,749
1,922 + 83 = ?,1005
1,264 + 29 = ?,293
1,440 + 31 = ?,471
1,930 + 35 = ?,965
1,645 + 85 = ?,730
1,937 + 60 = ?,997
1,145 + 83 = ?,228
1,401 + 64 = ?,465
1,530 + 90 = ?,620
1,442 + 37 = ?,479
1,944 + 56 = ?,1000
1,761 + 94 = ?,855
1,163 + 79 = ?,242
1,384 + 69 = ?,453
1,609 + 10 = ?,619
1,631 + 73 = ?,704
1,797 + 27 = ?,824
1,260 + 21 = ?,281
1,770 + 93 = ?,863
1,985 + 52 = ?,1037
1,407 + 86 = ?,493
1,340 + 13 = ?,353
1,993 + 33 = ?,1026
1,525 + 96 = ?,621
1,352 + 91 = ?,443
1,669 + 89 = ?,758
1,140 + 45 = ?,185
1,417 + 47 = ?,464
1,184 + 24 = ?,208
1,420 + 55 = ?,475
1,414 + 38 = ?,452
1,800 + 31 = ?,831
1,977 + 91 = ?,1068
1,951 + 82 = ?,1033
1,690 + 99 = ?,789
1,598 + 62 = ?,660
1,142 + 23 = ?,165
1,867 + 96 = ?,963
1,485 + 57 = ?,542
1,509 + 17 = ?,526
1,606 + 25 = ?,631
1,862 + 46 = ?,908
1,711 + 16 = ?,727
1,116 + 66 = ?,182
1,632 + 83 = ?,715
1,381 - 73 = ?,308
1,201 - 37 = ?,164
1,546 - 83 = ?,463
1,745 - 19 = ?,726
1,861 - 94 = ?,767
1,604 - 84 = ?,520
1,914 - 34 = ?,880
1,489 - 10 = ?,479
1,465 - 59 = ?,406
1,747 - 59 = ?,688
1,222 - 49 = ?,173
1,504 - 98 = ?,406
1,891 - 50 = ?,841
1,976 - 75 = ?,901
1,227 - 11 = ?,216
1,955 - 74 = ?,881
1,141 - 65 = ?,76
1,396 - 28 = ?,368
1,555 - 93 = ?,462
1,561 - 68 = ?,493
1,838 - 42 = ?,796
1,261 - 53 = ?,208
1,765 - 13 = ?,752
1,677 - 80 = ?,597
1,882 - 31 = ?,851
1,741 - 19 = ?,722
1,276 - 21 = ?,255
1,274 - 44 = ?,230
1,454 - 14 = ?,440
1,878 - 70 = ?,808
1,292 - 23 = ?,269
1,733 - 47 = ?,686
1,455 - 14 = ?,441
1,686 - 93 = ?,593
1,655 - 45 = ?,610
1,140 - 86 = ?,54
1,547 - 14 = ?,533
1,135 - 10 = ?,125
1,448 - 29 = ?,419
1,368 - 98 = ?,270
1,443 - 62 = ?,381
1,430 - 47 = ?,383
1,950 - 41 = ?,909
1,646 - 66 = ?,580
1,904 - 67 = ?,837
1,605 - 57 = ?,548
1,363 - 21 = ?,342
1,334 - 77 = ?,257
1,727 - 31 = ?,696
1,370 - 66 = ?,304
1,684 - 45 = ?,639
1,913 - 45 = ?,868
1,656 - 68 = ?,588
1,836 - 52 = ?,784
1,989 - 63 = ?,926
1,996 - 31 = ?,965
1,212 - 91 = ?,121
1,500 - 58 = ?,442
1,697 - 15 = ?,682
1,857 - 33 = ?,824
1,120 - 36 = ?,84
1,953 - 84 = ?,869
1,636 - 57 = ?,579
1,438 - 22 = ?,416
